X_km,Y_km,Z_km,VX_km_s,VY_km_s,VZ_km_s,Energy,Hx,Hy,Hz,Sail_X,Sail_Y,Sail_Z
149599999.87433425,3537863.9990094947,0.0,-2.1152885581521145e-06,29.77999997499146,0.0,443.42153555854424,0.0,-0.0,4455087999.999999,-0.9997371609358765,-0.022926165049423713,0.0
149599999.86660388,3645071.9989167093,0.0,-2.1793507386664113e-06,29.77999997345351,0.0,443.42153555854435,0.0,-0.0,4455087999.999999,-0.9997204838101668,-0.02364221331360535,0.0
149599999.8586429,3752279.998818305,0.0,-2.243409565490581e-06,29.779999971869735,0.0,443.42153555854435,0.0,-0.0,4455087999.999999,-0.9997032944156095,-0.024358225193505462,0.0
149599999.85045132,3859487.9987141164,0.0,-2.307464940292316e-06,29.77999997024014,0.0,443.42153555854435,0.0,-0.0,4455087999.999998,-0.9996855928315318,-0.025074199589792734,0.0
149599999.84202915,3966695.998603979,0.0,-2.3715167647658447e-06,29.779999968564734,0.0,443.42153555854424,0.0,-0.0,4455087999.999999,-0.9996673791396182,-0.025790135403424008,0.0
149599999.8333764,4073903.9984877277,0.0,-2.4355649406326852e-06,29.779999966843526,0.0,443.4215355585443,0.0,-0.0,4455087999.999998,-0.9996486534239072,-0.026506031535652733,0.0
149599999.82449308,4181111.9983651973,0.0,-2.499609369642396e-06,29.77999996507652,0.0,443.42153555854424,0.0,-0.0,4455087999.999998,-0.9996294157707919,-0.02722188688803736,0.0
149599999.8153792,4288319.998236223,0.0,-2.563649953573327e-06,29.779999963263727,0.0,443.4215355585442,0.0,-0.0,4455087999.999998,-0.9996096662690183,-0.02793770036244975,0.0
149599999.8060348,4395527.998100641,0.0,-2.6276865942333725e-06,29.779999961405156,0.0,443.42153555854424,0.0,-0.0,4455087999.999998,-0.9995894050096835,-0.028653470861083555,0.0
149599999.79645988,4502735.997958286,0.0,-2.691719193460719e-06,29.779999959500817,0.0,443.42153555854424,0.0,-0.0,4455087999.999998,-0.9995686320862359,-0.02936919728646264,0.0
149599999.78665444,4609943.997808992,0.0,-2.755747653124597e-06,29.779999957550714,0.0,443.4215355585443,0.0,-0.0,4455087999.999998,-0.999547347594473,-0.030084878541449443,0.0
149599999.7766185,4717151.997652596,0.0,-2.8197718751260286e-06,29.77999995555486,0.0,443.4215355585443,0.0,-0.0,4455087999.999999,-0.9995255516325404,-0.03080051352925337,0.0
149599999.7663521,4824359.997488932,0.0,-2.883791761398578e-06,29.77999995351326,0.0,443.4215355585443,0.0,-0.0,4455087999.999999,-0.9995032443009307,-0.03151610115343917,0.0
149599999.7558552,4931567.997317836,0.0,-2.9478072139090978e-06,29.77999995142593,0.0,443.4215355585443,0.0,-0.0,4455087999.999998,-0.9994804257024824,-0.03223164031793529,0.0
149599999.7451279,5038775.997139143,0.0,-3.011818134658477e-06,29.779999949292872,0.0,443.42153555854435,0.0,-0.0,4455087999.999999,-0.9994570959423774,-0.032947129927042254,0.0
