t,dt,rx,ry,rz,vx,vy,vz,q0,q1,q2,q3,wx,wy,wz,mass,energy,h_mag
60.0,60.0,149604948.68932685,2182.779062471591,214.84624152381764,-0.0003557713447392095,36.37965103946291,3.580770691893321,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
6060.0,60.0,149604839.82332855,220460.63183397063,21699.465130411536,-0.03593288386146893,36.37962456637095,3.5807680862039013,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12060.0,60.0,149604517.49497882,438738.170043267,43184.05305761923,-0.07150986721861567,36.37954618546473,3.580760371340132,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
18060.0,60.0,149603981.7054361,657015.082245135,64668.579368264094,-0.10708659353721361,36.379415897365895,3.580747547363195,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
24060.0,60.0,149603232.4566262,875291.0569993109,86153.01340795193,-0.1426629349418918,36.37923370310744,3.5807296143747767,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
30060.0,60.0,149602269.75124228,1093565.7828729672,107637.32452302019,-0.17823876356266255,36.378999604134194,3.5807065725170744,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
36060.0,60.0,149601093.5927447,1311838.948443176,129121.48206078101,-0.21381395153670948,36.37871360230234,3.5806784219727987,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
42060.0,60.0,149599703.98536095,1530110.2422993854,150605.4553697644,-0.24938837101017552,36.378375699879676,3.5806451629651574,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
48060.0,60.0,149598100.9340856,1748379.3530458808,172089.21379996085,-0.2849618941399504,36.37798589954537,3.58060679575786,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
54060.0,60.0,149596284.44468,1966645.9693042592,193572.7267030651,-0.32053439309545906,36.37754420438999,3.5805633206551097,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
60060.0,60.0,149594254.52367258,2184909.779715894,215055.96343271798,-0.35610574006044654,36.37705061791553,3.5805147380015905,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
66060.0,60.0,149592011.17835882,2403170.4729444054,236538.89334475028,-0.3916758072347664,36.37650514403517,3.5804610481824666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
