X_km,Y_km,Z_km,VX_km_s,VY_km_s,VZ_km_s,Energy,Hx,Hy,Hz,Sail_X,Sail_Y,Sail_Z
153753593.1009752,-5368456871.983414,7604958.328842372,85.46792790476478,-110463.17504713376,156.48120574467995,6101072391.60346,5238788.795166016,-23409567605.849262,-16525279183944.281,0.3756881006830129,-0.7968927163461154,0.47309665993293587
154061277.49374405,-5766124302.430934,8168290.625852935,85.46784776712259,-110463.17519789728,156.48118204792382,6101072409.949694,5371791.281982422,-23409564590.30626,-16525279652916.844,-0.37349426498694804,-0.9210325852924022,-0.11045818598661415
154368961.56532148,-6163791733.358672,8731622.844200073,85.46774973496113,-110463.17531491135,156.4811619256361,6101072424.347358,5492718.962036133,-23409562314.967205,-16525280255285.797,-0.5250348951436982,-0.8442420272292535,-0.10767431607066842
154676645.5307444,-6561459164.244264,9294955.256460037,85.46778585957593,-110463.17517989816,156.48128672876388,6101072410.759773,4697944.478271484,-23409581274.10632,-16525280004725.65,0.22154816174275818,0.6080684196153829,0.7623445474946713
154984329.5126832,-6959126594.967759,9858288.11415889,85.46776016703102,-110463.17522123289,156.48140958303497,6101072416.49766,3868288.389526367,-23409600541.22781,-16525280184714.11,-0.17618077768062243,-0.5012405696658361,0.8471825215955054
155292013.46650678,-7356794025.592711,10421621.3923671,85.4677695617702,-110463.17512769575,156.48152069653383,6101072407.213563,3072403.6650390625,-23409617683.642746,-16525280102990.459,0.07349148362827256,0.5065978522864187,0.8590445959860892
155599697.29723847,-7754461455.958383,10984954.713611664,85.46769329492578,-110463.17507635572,156.481437018902,6101072402.4473,3703799.469482422,-23409605492.45643,-16525280670987.633,-0.6559128837385512,0.22580841715215166,-0.7202699824989361
155907381.13152277,-8152128886.316005,11548287.840496365,85.46776893589829,-110463.17512156973,156.48141167292036,6101072408.278665,3905808.7236328125,-23409600692.931927,-16525280076685.398,0.722572900584538,-0.6477232507641221,-0.24154294392593112
156215064.9790296,-8549796316.609867,12111620.856070658,85.46770294934223,-110463.17504293563,156.48137533418472,6101072400.33797,4208227.544433594,-23409595802.27588,-16525280615256.717,-0.6934114077454926,0.6109565200896075,-0.3819852748057326
156522748.6640294,-8947463746.87431,12674953.854230264,85.46767798481973,-110463.17510306562,156.48140103171173,6101072407.671566,3984231.7731933594,-23409600129.796,-16525280842989.107,-0.28749257714066323,-0.9105653306247845,0.2970164923925885
156830432.2133073,-9345131177.124924,13238286.829728073,85.46762789596751,-110463.17503712079,156.48136367524296,6101072401.007866,4324943.326416016,-23409594925.77279,-16525281290640.352,-0.6313927032121833,0.6159364434194106,-0.47113220225140545
157138115.72832334,-9742798607.162374,13801619.638433054,85.46765780880571,-110463.17498441708,156.4813085926989,6101072395.759401,4849784.705078125,-23409585874.494106,-16525280996962.3,0.4117514968356653,0.5079409848438364,-0.7566086576093766
157445799.23342353,-10140466037.054193,14364952.247604951,85.46762326333204,-110463.17495586298,156.48125280235044,6101072393.12753,5403881.876953125,-23409577585.619408,-16525281335817.781,-0.5144121548006703,0.2094768875139782,-0.831564530623323
157753482.69436774,-10538133466.913656,14928284.86084663,85.4676326960335,-110463.1749659318,156.48130938417316,6101072394.743123,4819157.146972656,-23409586364.65957,-16525281239901.082,0.15279038319171614,-0.37866794635981843,0.9128338760167516
158061166.22458982,-10935800896.713427,15491617.502517272,85.4676615161127,-110463.17492335534,156.48126981037458,6101072390.494069,5243315.128417969,-23409579677.490273,-16525280923808.506,0.5018902326675377,0.5242178417232413,-0.6879693661580809
158368849.7539857,-11333468326.358934,16054950.132721666,85.46763293317426,-110463.17488021836,156.4813021404666,6101072386.157324,4882727.6376953125,-23409585243.287724,-16525281235176.547,-0.5340030978271241,0.5905788605695965,0.6050266944188101
158676533.18194652,-11731135755.976435,16618282.788633563,85.46760514243877,-110463.17490697435,156.48128467799606,6101072389.504602,5084507.2236328125,-23409582929.037342,-16525281559845.54,-0.5569987687201131,-0.7531281801934904,-0.35007187239582593
158984216.5060191,-12128803185.648445,17181615.353537884,85.46757523038197,-110463.17491076702,156.48125174591362,6101072390.286663,5477377.281738281,-23409578203.897224,-16525281917231.734,-0.6416873694404787,-0.297715349471768,-0.706825926653417
159291899.73392168,-12526470615.261465,17744947.905602247,85.46755163599845,-110463.174874633,156.48127690814184,6101072386.644385,5166609.3623046875,-23409582620.0876,-16525282202294.02,-0.5403875116041891,0.61220300367554,0.5772251030515559
159599582.907033,-12924138044.730207,18308280.46632729,85.46754461024202,-110463.17483068224,156.48125703502714,6101072382.1116495,5418667.4755859375,-23409579578.065907,-16525282284676.646,-0.17107702342959194,0.857494178882228,-0.48521787398813393
159907266.10831523,-13321805474.094717,18871612.93576125,85.46756698723848,-110463.17481641138,156.48122629438035,6101072380.838807,5821749.115234375,-23409574251.26656,-16525281988789.088,0.5819615573484983,0.15451259101956452,-0.7984025331779272
160214949.35666445,-13719472903.359056,19434945.37553982,85.46757094580319,-110463.17477529137,156.4812401137732,6101072376.587758,5634141.562255859,-23409576387.384464,-16525281928692.814,0.10972761814074582,0.9178509020591092,0.38145716850838984
160522632.58449602,-14117140332.577862,19998277.80238903,85.46755577188551,-110463.17479056613,156.48121944377135,6101072378.542961,5922094.966308594,-23409573371.72906,-16525282142308.879,-0.442956105445599,-0.6627137971532595,-0.6038214236934426
160830315.7509735,-14514807761.827038,20561610.237381663,85.46753689049821,-110463.17479229391,156.4812442116753,6101072378.993591,5567598.934082031,-23409577734.177467,-16525282412857.164,-0.5833131266704191,-0.2696986616242736,0.7661647526296517
161137998.93353403,-14912475191.07244,21124942.740748845,85.46756428525686,-110463.17478851885,156.48125753890696,6101072378.824792,5371452.024902344,-23409579308.705128,-16525282009221.852,0.8953182619514574,-0.09296713480821538,0.4356171732861009
161445682.19765216,-15310142620.265518,21688275.29107282,85.46758228915101,-110463.17476341217,156.4812703068485,6101072376.28608,5177996.6005859375,-23409580982.69484,-16525281733141.37,0.6207921696994874,0.6487238976146236,0.44019812210355275
161753365.5234843,-15707810049.392696,22251607.82518156,85.46759858941475,-110463.1747517862,156.48124882606086,6101072375.219285,5510849.7255859375,-23409577153.361423,-16525281478489.926,0.5920369856409482,0.20563630093871052,-0.779234187757072
162061048.83853126,-16105477478.479212,22814940.345013693,85.46757661980348,-110463.17474081379,156.48126208132354,6101072374.216019,5299777.730957031,-23409579794.46268,-16525281826139.793,-0.8382031165628476,0.20260186229628596,0.5063279774794259
162368732.0847388,-16503144907.564243,23378272.868666828,85.46756029492799,-110463.17475078927,156.4812511481999,6101072375.513368,5478247.482421875,-23409578397.972733,-16525282093897.404,-0.6542741089359342,-0.6163666051243565,-0.4381981269512285
162676415.32874575,-16900812336.691372,23941605.37160351,85.46757514665282,-110463.17476417594,156.48125048852754,6101072377.182458,5489580.973144531,-23409577939.404175,-16525281848043.268,0.625559256997899,-0.7796933152394285,-0.02745815279995687
162984098.56941503,-17298479765.86082,24504937.880737647,85.46755868614261,-110463.17477432745,156.4812545544728,6101072378.483548,5420306.895996094,-23409579000.149696,-16525282131139.744,-0.725713130010961,-0.6641196514263367,0.17968177848367164
163291781.80807167,-17696147195.04586,25068270.369642496,85.46757378649993,-110463.17477292757,156.4812393963936,6101072378.500213,5685475.030761719,-23409576153.055183,-16525281866718.428,0.6979830344047159,-0.15160630513342094,-0.699882284335714
163599465.08349758,-18093814624.188667,25631602.81377101,85.46757918790139,-110463.17475101717,156.48122963619298,6101072376.24366,5859563.876953125,-23409574420.89031,-16525281766487.271,0.26142865184767927,0.8423546784237594,-0.4712681357048337
163907148.36627054,-18491482053.320385,26194935.239338953,85.46757791740997,-110463.17476649073,156.48122901714962,6101072378.110432,5871287.8662109375,-23409574352.44059,-16525281792259.92,-0.06369588579434686,-0.997489390552667,-0.030947534114084373
164214831.67018083,-18889149482.459663,26758267.642013304,85.4675908300727,-110463.17475540836,156.48121699828926,6101072377.036536,6095613.810546875,-23409572038.769943,-16525281549118.21,0.6810230585750782,0.3678437092991414,-0.6331655385585151
164522515.00370306,-19286816911.564114,27321599.99186087,85.46759443503342,-110463.17474712223,156.4811997037989,6101072376.263675,6425482.8310546875,-23409569098.64513,-16525281478949.785,0.1986127645654479,0.23924602541090978,-0.9504284870924021
164830198.3273838,-19684484340.619797,27884932.31159965,85.46758544874777,-110463.17472838442,156.4812001480552,6101072374.332133,6416309.619628906,-23409569419.836784,-16525281650955.59,-0.5143737188714805,0.8571792479452307,0.025756828732813864
165137881.63115188,-20082151769.610104,28448264.615763627,85.46758332547516,-110463.1747107926,156.4811911143807,6101072372.520785,6595421.600097656,-23409567989.235313,-16525281690268.13,-0.1262277818222633,0.8330832196935178,-0.5385525936817247
165445564.9460823,-20479819198.551502,29011596.92621721,85.46759158191037,-110463.17470115884,156.48120350109133,6101072371.587561,6343946.239746094,-23409569799.45199,-16525281521237.846,0.512814706411941,0.3816030396069799,0.7690254853061428
165753248.29256928,-20877486627.454895,29574929.27583416,85.4676008514532,-110463.17468968855,156.48121289256662,6101072370.446198,6149419.1708984375,-23409571083.147034,-16525281327668.531,0.5984648563337333,0.523769178921406,0.6062224533497914
